commodity,consumption,period,region,season,timeslice,units_prices,year
ser.cooling.high-consumption,0.22710000000,Day,UK,A,13,0,2010
ser.cooking,1.01970000000,Day,UK,A,13,0,2010
ser.computing,0.31890000000,Day,UK,A,13,0,2010
ser.space-heat.high-consumption,12.55250000000,Day,UK,A,13,0,2010
ser.space-heat.low-consumption,6.32890000000,Day,UK,A,13,0,2010
ser.lighting.office,8.86270000000,Day,UK,A,13,0,2010
ser.lighting.other,4.00120000000,Day,UK,A,13,0,2010
ser.other,0.76780000000,Day,UK,A,13,0,2010
ser.refrigeration,1.58400000000,Day,UK,A,13,0,2010
ser.hot-water.high-consumption,0.89760000000,Day,UK,A,13,0,2010
ser.hot-water.low-consumption,0.34350000000,Day,UK,A,13,0,2010
res.cooking.other,0.49480000000,Day,UK,A,13,0,2010
res.cooking.hobs,0.67500000000,Day,UK,A,13,0,2010
res.cooking.ovens,0.60750000000,Day,UK,A,13,0,2010
