commodity,consumption,period,region,season,timeslice,units_prices,year
ser.computing,2.20380000000,Night,UK,P,4,0,2015
ser.space-heat.high-consumption,21.22570000000,Night,UK,P,4,0,2015
ser.space-heat.low-consumption,10.97070000000,Night,UK,P,4,0,2015
ser.lighting.office,23.55620000000,Night,UK,P,4,0,2015
ser.lighting.other,10.63470000000,Night,UK,P,4,0,2015
ser.other,2.04070000000,Night,UK,P,4,0,2015
ser.refrigeration,5.26260000000,Night,UK,P,4,0,2015
ser.hot-water.high-consumption,4.43660000000,Night,UK,P,4,0,2015
ser.hot-water.low-consumption,1.80490000000,Night,UK,P,4,0,2015
nga,20.44490000000,Day,UK,P,5,12.552,2015
bog,0.00700000000,Day,UK,P,5,0,2015
biomass,0.00690000000,Day,UK,P,5,10.019,2015
elc,19.10530000000,Day,UK,P,5,43.34267522,2015
oil,0.70830000000,Day,UK,P,5,19.7944343,2015
hco,4.80800000000,Day,UK,P,5,19.7944343,2015
lfo,3.51730000000,Day,UK,P,5,19.7944343,2015
wood,0.75900000000,Day,UK,P,5,10.019,2015
hydrogen,0.09260000000,Day,UK,P,5,105.016835,2015
ser.cooling.high-consumption,1.08650000000,Day,UK,P,5,0,2015
ser.cooking,1.08400000000,Day,UK,P,5,0,2015
ser.computing,0.33900000000,Day,UK,P,5,0,2015
ser.space-heat.high-consumption,5.61440000000,Day,UK,P,5,0,2015
ser.space-heat.low-consumption,3.84940000000,Day,UK,P,5,0,2015
ser.lighting.office,7.85210000000,Day,UK,P,5,0,2015
ser.lighting.other,3.54490000000,Day,UK,P,5,0,2015
ser.other,0.81630000000,Day,UK,P,5,0,2015
ser.refrigeration,2.10500000000,Day,UK,P,5,0,2015
ser.hot-water.high-consumption,0.84520000000,Day,UK,P,5,0,2015
ser.hot-water.low-consumption,0.36510000000,Day,UK,P,5,0,2015
nga,12.21450000000,Peak,UK,P,6,12.552,2015
bog,0.01230000000,Peak,UK,P,6,0,2015
biomass,0.01200000000,Peak,UK,P,6,10.019,2015
elc,18.73070000000,Peak,UK,P,6,43.34267522,2015
oil,0.24110000000,Peak,UK,P,6,19.7944343,2015
hco,5.03040000000,Peak,UK,P,6,19.7944343,2015
lfo,2.47820000000,Peak,UK,P,6,19.7944343,2015
wood,1.47260000000,Peak,UK,P,6,10.019,2015
ser.cooling.high-consumption,1.08650000000,Peak,UK,P,6,0,2015
ser.computing,0.50860000000,Peak,UK,P,6,0,2015
ser.space-heat.high-consumption,6.40330000000,Peak,UK,P,6,0,2015
ser.space-heat.low-consumption,4.02530000000,Peak,UK,P,6,0,2015
ser.lighting.office,10.46940000000,Peak,UK,P,6,0,2015
ser.lighting.other,4.72650000000,Peak,UK,P,6,0,2015
ser.other,1.42850000000,Peak,UK,P,6,0,2015
ser.refrigeration,3.68380000000,Peak,UK,P,6,0,2015
ser.hot-water.high-consumption,2.88500000000,Peak,UK,P,6,0,2015
ser.hot-water.low-consumption,1.20410000000,Peak,UK,P,6,0,2015
nga,9.33980000000,Evening,UK,P,7,12.552,2015
bog,0.00530000000,Evening,UK,P,7,0,2015
biomass,0.00520000000,Evening,UK,P,7,10.019,2015
elc,17.06710000000,Evening,UK,P,7,43.34267522,2015
oil,0.86650000000,Evening,UK,P,7,19.7944343,2015
