technology,dst_region,region,installed,agent,sector,type,year,capacity
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent1,residential,newcapa,2040,20.50870000000
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2015,Agent1,residential,newcapa,2040,6.98950000000
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2040,10.00000000000
RWEASA01 [RES.WATER.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2010,Agent1,residential,newcapa,2040,217.85630000000
RWEASA01 [RES.WATER.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2040,0.18450000000
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],UK,UK,2040,Agent1,residential,newcapa,2045,10.00000000000
RCEOTHER01 [RES.COOKING: .01.OTHER.KETTLE.MICROWAVE],UK,UK,2040,Agent1,residential,newcapa,2045,27.22390000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2030,Agent1,residential,newcapa,2045,10.01080000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2035,Agent1,residential,newcapa,2045,10.00000000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2040,Agent1,residential,newcapa,2045,5.14660000000
RCHEHOB01 [RES.COOKING: .01.HOB.ELECTRIC.],UK,UK,2030,Agent1,residential,newcapa,2045,18.70690000000
RCHEHOB01 [RES.COOKING: .01.HOB.ELECTRIC.],UK,UK,2035,Agent1,residential,newcapa,2045,13.27910000000
RCHEHOB01 [RES.COOKING: .01.HOB.ELECTRIC.],UK,UK,2040,Agent1,residential,newcapa,2045,5.14660000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2030,Agent1,residential,newcapa,2045,10.01100000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2035,Agent1,residential,newcapa,2045,10.00000000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2040,Agent1,residential,newcapa,2045,4.63190000000
RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,UK,2030,Agent1,residential,newcapa,2045,16.83620000000
RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,UK,2035,Agent1,residential,newcapa,2045,11.95050000000
RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],UK,UK,2040,Agent1,residential,newcapa,2045,4.63190000000
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,UK,2030,Agent1,residential,newcapa,2045,4.35340000000
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,UK,2035,Agent1,residential,newcapa,2045,1.63950000000
RCHGHOB01 [RES.COOKING: .01.HOB.GAS.],UK,UK,2030,Agent1,residential,newcapa,2045,4.35340000000
