ProcessName,2010,2015,2020,2025,2030,2035,2040,2045,2050,RegionName,Unit
RHNABLRRW01 [RES.HEAT.NEW-AVERAGE: .01.WOD.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLSRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLSRG01 [RES.HEAT.NEW-AVERAGE: .01.NGA.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLSRH01 [RES.HEAT.NEW-AVERAGE: .01.HDG.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLSRO01 [RES.HEAT.NEW-AVERAGE: .01.KER.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLSRP01 [RES.HEAT.NEW-AVERAGE: .01.PEL.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLSRW01 [RES.HEAT.NEW-AVERAGE: .01.WOD.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNACHBRH01 [RES.HEAT.NEW-AVERAGE: .01.HDG.MICRO-CHP-BOILER.STD.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNACHPRG01 [RES.HEAT.NEW-AVERAGE: .01.GAS.MICRO-CHP.STD.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNACHPRW01 [RES.HEAT.NEW-AVERAGE: .01.PELH.MICRO-CHP.STD.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNADUMMY00 [RES.HEAT.NEW-AVERAGE: .00.DUMMY-TECH.],5.97868945368288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHBRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.NGA.BOILER.RADIATOR.]; RHNAGHBUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.NGA.BOILER.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHHRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.HDG.BOILER.RADIATOR.]; RHNAGHHUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.HDG.BOILER.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHPRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.RADIATOR.]; RHNAGHPUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHSRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.SOLAR-THERMAL.RADIATOR.]; RHNAGHSUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.SOLAR-THERMAL.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
