commodity,period,prices,region,season,timeslice,units_prices,year
elc,Peak,45.82250000000,UK,W,2,43.34267522,2015
nga,Peak,12.47950000000,UK,W,2,12.552,2015
oil,Peak,19.79440000000,UK,W,2,19.7944343,2015
hco,Peak,17.90350000000,UK,W,2,19.7944343,2015
wood,Peak,11.84850000000,UK,W,2,10.019,2015
hydrogen,Peak,105.01680000000,UK,W,2,105.016835,2015
biomass,Peak,11.84850000000,UK,W,2,10.019,2015
kerosene,Peak,13.98540000000,UK,W,2,18.21616657,2015
pellets,Peak,17.93240000000,UK,W,2,20.58703511,2015
res.cooking.other,Peak,0.50430000000,UK,W,2,0,2015
res.cooking.hobs,Peak,0.98800000000,UK,W,2,0,2015
res.cooking.ovens,Peak,0.97340000000,UK,W,2,0,2015
res.consumer-electronics.tv,Peak,2.65440000000,UK,W,2,0,2015
res.freezers,Peak,0.85010000000,UK,W,2,0,2015
res.computers,Peak,6.61220000000,UK,W,2,0,2015
res.refrigerators,Peak,1.36600000000,UK,W,2,0,2015
res.lighting,Peak,0.00620000000,UK,W,2,0,2015
res.space-heat.existing-average,Peak,0.14140000000,UK,W,2,0,2015
res.hot-water.existing-average,Peak,0.00850000000,UK,W,2,0,2015
elc,Evening,45.82250000000,UK,W,3,43.34267522,2015
nga,Evening,12.47950000000,UK,W,3,12.552,2015
oil,Evening,19.79440000000,UK,W,3,19.7944343,2015
hco,Evening,17.90350000000,UK,W,3,19.7944343,2015
wood,Evening,11.84850000000,UK,W,3,10.019,2015
hydrogen,Evening,105.01680000000,UK,W,3,105.016835,2015
biomass,Evening,11.84850000000,UK,W,3,10.019,2015
kerosene,Evening,13.98540000000,UK,W,3,18.21616657,2015
pellets,Evening,17.93240000000,UK,W,3,20.58703511,2015
res.cooking.other,Evening,0.67240000000,UK,W,3,0,2015
res.cooking.hobs,Evening,1.31730000000,UK,W,3,0,2015
res.cooking.ovens,Evening,1.29790000000,UK,W,3,0,2015
res.consumer-electronics.tv,Evening,3.53920000000,UK,W,3,0,2015
res.freezers,Evening,1.13340000000,UK,W,3,0,2015
res.computers,Evening,8.81630000000,UK,W,3,0,2015
res.refrigerators,Evening,1.82130000000,UK,W,3,0,2015
res.lighting,Evening,0.00820000000,UK,W,3,0,2015
res.wet.appliances,Evening,7.52840000000,UK,W,3,0,2015
res.space-heat.existing-average,Evening,0.29480000000,UK,W,3,0,2015
res.hot-water.existing-average,Evening,0.02010000000,UK,W,3,0,2015
elc,Night,45.82250000000,UK,P,4,43.34267522,2015
nga,Night,12.47950000000,UK,P,4,12.552,2015
oil,Night,19.79440000000,UK,P,4,19.7944343,2015
hco,Night,17.90350000000,UK,P,4,19.7944343,2015
wood,Night,11.84850000000,UK,P,4,10.019,2015
hydrogen,Night,105.01680000000,UK,P,4,105.016835,2015
biomass,Night,11.84850000000,UK,P,4,10.019,2015
kerosene,Night,13.98540000000,UK,P,4,18.21616657,2015
pellets,Night,17.93240000000,UK,P,4,20.58703511,2015
res.cooking.other,Night,1.17680000000,UK,P,4,0,2015
res.cooking.hobs,Night,2.30530000000,UK,P,4,0,2015
res.cooking.ovens,Night,2.27130000000,UK,P,4,0,2015
res.consumer-electronics.tv,Night,6.19360000000,UK,P,4,0,2015
res.freezers,Night,1.98350000000,UK,P,4,0,2015
res.computers,Night,15.42860000000,UK,P,4,0,2015
res.refrigerators,Night,3.18730000000,UK,P,4,0,2015
res.lighting,Night,0.01440000000,UK,P,4,0,2015
res.wet.appliances,Night,13.17480000000,UK,P,4,0,2015
res.space-heat.existing-average,Night,0.65170000000,UK,P,4,0,2015
res.hot-water.existing-average,Night,0.02940000000,UK,P,4,0,2015
elc,Day,45.82250000000,UK,P,5,43.34267522,2015
nga,Day,12.47950000000,UK,P,5,12.552,2015
oil,Day,19.79440000000,UK,P,5,19.7944343,2015
hco,Day,17.90350000000,UK,P,5,19.7944343,2015
wood,Day,11.84850000000,UK,P,5,10.019,2015
hydrogen,Day,105.01680000000,UK,P,5,105.016835,2015
biomass,Day,11.84850000000,UK,P,5,10.019,2015
kerosene,Day,13.98540000000,UK,P,5,18.21616657,2015
pellets,Day,17.93240000000,UK,P,5,20.58703511,2015
res.cooking.other,Day,1.68110000000,UK,P,5,0,2015
res.cooking.hobs,Day,3.29330000000,UK,P,5,0,2015
res.cooking.ovens,Day,3.24480000000,UK,P,5,0,2015
res.consumer-electronics.tv,Day,8.84800000000,UK,P,5,0,2015
res.freezers,Day,2.83350000000,UK,P,5,0,2015
